Name,Color,Quantity,Price
Banana,Blue,24,8.63
Banana,Purple,60,3.63
Apple,Purple,63,5.97
Elderberry,Blue,98,3.94
Elderberry,Yellow,24,8.57
Elderberry,Blue,5,8.85
Apple,Red,8,6.5
Banana,Red,29,9.82
Date,Purple,36,7.54
Cherry,Red,4,3.99
Cherry,Blue,96,4.37
Apple,Yellow,95,4.3
Banana,Red,37,8.61
Cherry,Green,31,6.88
Apple,Red,53,2.94
Apple,Green,79,4.48
Apple,Yellow,75,4.75
Cherry,Green,16,5.11
Banana,Purple,20,7.79
Cherry,Red,77,5.0
Cherry,Blue,77,2.77
Banana,Red,43,5.06
Cherry,Green,54,8.42
Date,Blue,26,3.94
Elderberry,Green,36,5.79
Apple,Green,90,6.19
Cherry,Red,38,7.66
Banana,Green,16,3.33
Banana,Green,74,8.09
Elderberry,Yellow,78,5.18
Elderberry,Yellow,92,5.15
Cherry,Yellow,29,5.75
Apple,Purple,76,4.72
Apple,Purple,56,3.66
Date,Blue,53,7.34
Elderberry,Red,43,9.4
Cherry,Blue,8,8.49
Cherry,Yellow,23,5.92
Elderberry,Yellow,26,8.01
Date,Blue,28,2.94
Cherry,Blue,83,7.95
Banana,Yellow,34,7.65
Elderberry,Yellow,59,7.92
Date,Yellow,70,9.95
Cherry,Blue,97,8.57
Date,Green,62,3.27
Cherry,Purple,15,4.81
Banana,Red,85,5.35
Cherry,Green,25,3.7
Elderberry,Yellow,91,7.25
Banana,Red,44,6.44
Cherry,Red,62,9.07
Cherry,Yellow,66,6.89
Cherry,Purple,48,9.42
Banana,Yellow,1,7.1
Apple,Blue,28,2.31
Date,Blue,99,7.68
Elderberry,Green,5,2.16
Cherry,Purple,3,1.55
Date,Red,25,6.22
Date,Purple,26,2.66
Apple,Yellow,99,9.98
Banana,Green,18,4.66
Cherry,Blue,23,5.41
Cherry,Blue,49,5.87
Banana,Red,61,9.31
Elderberry,Purple,61,8.99
Banana,Green,23,7.16
Apple,Blue,88,5.46
Date,Blue,74,6.55
Banana,Purple,39,4.03
Apple,Red,50,1.2
Elderberry,Green,76,3.21
Cherry,Yellow,72,4.27
Elderberry,Yellow,39,9.08
Banana,Red,63,7.74
Apple,Red,6,4.56
Banana,Yellow,27,5.27
Cherry,Purple,12,6.65
Date,Green,4,4.8
Banana,Green,5,9.26
Apple,Blue,87,3.06
Banana,Blue,53,5.55
Date,Blue,70,7.78
Elderberry,Yellow,95,5.12
Date,Green,12,6.46
Apple,Red,61,3.92
Date,Green,88,4.65
Apple,Blue,21,1.56
Date,Yellow,79,4.04
Date,Blue,52,7.12
Elderberry,Green,22,8.97
Date,Blue,99,1.81
Cherry,Blue,61,6.22
Banana,Yellow,1,9.05
Date,Green,33,8.92
Elderberry,Blue,63,2.95
Banana,Purple,28,9.76
Cherry,Green,17,5.43
Cherry,Blue,21,8.01
